名前,緯度,経度,郵便番号,都道府県,市区町村,街区,番地,建物名,住所,Google Map URL,口コミ点数,口コミ件数,営業開始時刻(日・時),営業開始時刻(日・分),営業終了時刻(日・時),営業終了時刻(日・分),営業開始時刻(月・時),営業開始時刻(月・分),営業終了時刻(月・時),営業終了時刻(月・分),営業開始時刻(火・時),営業開始時刻(火・分),営業終了時刻(火・時),営業終了時刻(火・分),営業開始時刻(水・時),営業開始時刻(水・分),営業終了時刻(水・時),営業終了時刻(水・分),営業開始時刻(木・時),営業開始時刻(木・分),営業終了時刻(木・時),営業終了時刻(木・分),営業開始時刻(金・時),営業開始時刻(金・分),営業終了時刻(金・時),営業終了時刻(金・分),営業開始時刻(土・時),営業開始時刻(土・分),営業終了時刻(土・時),営業終了時刻(土・分)
うどん処 しんせい 2号店,134.067834,34.327598,〒760-0077,香川県,高松市,上福岡町,８８０−１,,〒760-0077 香川県 高松市 上福岡町 ８８０−１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
讃岐うどん 麺賊,133.782305,34.227431,〒765-0011,香川県,善通寺市,上吉田町,３丁目３−２４,,〒765-0011 香川県 善通寺市 上吉田町 ３丁目３−２４,https://goo.gl/maps/U5ZCLSkK5o3FQfjs9,3.8,325,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,定休日,,,,6,30,15,00
セルフうどん おかだ,133.833273,34.264436,〒763-0084,香川県,丸亀市,飯野町東二,６２３−１,,〒763-0084 香川県 丸亀市 飯野町東二 ６２３−１,https://goo.gl/maps/4XVc2jEdJXbk6V1HA,4.1,765,定休日,,,,10,30,14,00,10,30,14,00,10,30,14,00,10,30,14,00,10,30,14,00,定休日,,,
かなくま餅福田,133.672774,34.13908,〒768-0014,香川県,観音寺市,流岡町,１４３６−２,,〒768-0014 香川県 観音寺市 流岡町 １４３６−２,https://goo.gl/maps/MazZbiyHN1FoKUf27,4.2,650,10,00,14,00,定休日,,,,10,00,14,00,10,00,14,00,10,00,14,00,10,00,14,00,10,00,14,00
いきいきうどん 坂出店,133.858721,34.318267,〒762-0001,香川県,坂出市,京町,３丁目７−１３６１−１,,〒762-0001 香川県 坂出市 京町 ３丁目７−１３６１−１,https://goo.gl/maps/9QUekz8fRQJuYabXA,3.5,786,5,00,15,30,5,00,15,30,5,00,15,30,5,00,15,30,5,00,15,30,5,00,15,30,5,00,15,30
上野製麺所,134.017172,34.286247,〒761-8044,香川県,高松市,円座町,２２８９−３,,〒761-8044 香川県 高松市 円座町 ２２８９−３,https://goo.gl/maps/DSxWy6ntF9CQ9GP49,4.0,105,定休日,,,,10,30,14,00,10,30,14,00,10,30,14,00,10,30,14,00,10,30,14,00,10,30,14,00
セルフうどん 天狗,134.098944,34.282449,〒761-0431,香川県,高松市,小村町,１６８−１,,〒761-0431 香川県 高松市 小村町 １６８−１,https://goo.gl/maps/1uBDtD6NQT4sYyGT7,3.6,528,8,00,17,00,8,00,17,00,8,00,17,00,8,00,17,00,8,00,17,00,8,00,17,00,8,00,17,00
讃岐うどん 本格手打 麺の蔵,133.814335,34.235924,〒765-0040,香川県,善通寺市,与北町,１０１４−４,,〒765-0040 香川県 善通寺市 与北町 １０１４−４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手打ちうどん まいどまいど,133.854056,34.282729,〒762-0025,香川県,坂出市,川津町,４５−１,,〒762-0025 香川県 坂出市 川津町 ４５−１,https://goo.gl/maps/6y6LaS88GEhJz3gv7,4.0,332,10,00,14,30,定休日,,,,10,00,14,30,10,00,14,30,10,00,14,30,10,00,14,30,10,00,14,30
まえばうどん,133.882443,34.235667,〒761-2406,香川県,丸亀市,綾歌町栗熊東,４２０−２,,〒761-2406 香川県 丸亀市 綾歌町栗熊東 ４２０−２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本格手打ちうどん 香川屋本店,133.885575,34.235003,〒761-2406,香川県,丸亀市,綾歌町栗熊東,４６９−１,,〒761-2406 香川県 丸亀市 綾歌町栗熊東 ４６９−１,https://goo.gl/maps/XKv1x2yZf1mh1USK9,3.9,816,10,00,16,00,10,00,16,00,定休日,,,,10,00,16,00,10,00,16,00,10,00,16,00,10,00,16,00
うどん てら屋 檀紙店,133.99671,34.303256,〒761-8041,香川県,高松市,檀紙町,８５１−１,,〒761-8041 香川県 高松市 檀紙町 ８５１−１,https://goo.gl/maps/Mxx5xGBcDJm22uEp6,3.9,510,9,00,16,00,定休日,,,,9,00,16,00,9,00,16,00,9,00,16,00,9,00,16,00,9,00,14,00
本格手打ちうどん あかみち,133.797985,34.265913,〒765-0040,香川県,善通寺市,与北町,１０１４−４,,〒765-0040 香川県 善通寺市 与北町 １０１４−４,https://goo.gl/maps/rxXNAHP59xmAWGXv6,4.1,467,10,00,15,00,定休日,,,,10,00,15,00,10,00,15,00,10,00,15,00,10,00,15,00,10,00,15,00
根っこ 三谷店,134.076124,34.277306,〒761-0450,香川県,高松市,三谷町,２７０−２,,〒761-0450 香川県 高松市 三谷町 ２７０−２,https://goo.gl/maps/6jKf89Dh2Q8cUJcE8,3.7,410,7,00,17,00,7,00,17,00,7,00,17,00,7,00,17,00,7,00,17,00,7,00,17,00,7,00,17,00
うどん市場 めんくい,134.054943,34.340469,〒760-0047,香川県,高松市,塩屋町,９−７,,〒760-0047 香川県 高松市 塩屋町 ９−７,https://goo.gl/maps/nehJC8rb1dX2d14ZA,4.1,148,11,00,14,00,11,00,15,00,11,00,15,00,11,00,15,00,11,00,15,00,11,00,15,00,11,00,14,00
麺工房六車,134.350168,34.2463,〒769-2701,香川県,東かがわ市,湊,６−１,,〒769-2701 香川県 東かがわ市 湊 ６−１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
こだわり麺や 坂出鴨川店,133.911743,34.304785,〒762-0023,香川県,坂出市,加茂町,５３０,,〒762-0023 香川県 坂出市 加茂町 ５３０,https://goo.gl/maps/1GQKUjjHb7sQQeuc9,3.8,798,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00
大喜多うどん,133.689782,34.115837,〒768-0031,香川県,観音寺市,池之尻町,７１８,,〒768-0031 香川県 観音寺市 池之尻町 ７１８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
讃岐うどん めんや七福 別邸,133.850019,34.295183,〒762-0025,香川県,坂出市,川津町,３３５５−２,,〒762-0025 香川県 坂出市 川津町 ３３５５−２,https://goo.gl/maps/7JqVo6qgZzTPDBEq5,4.0,534,10,00,15,00,10,00,15,00,10,00,15,00,定休日,,,,10,00,15,00,10,00,15,00,10,00,15,00
手打ちうどん むさし,133.828688,34.18988,〒766-0003,香川県,仲多度郡琴平町,五條,６３７−２,,〒766-0003 香川県 仲多度郡琴平町 五條 ６３７−２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
架け橋 夢うどん,133.815681,34.385256,〒762-0071,香川県,坂出市,与島町,５８７,,〒762-0071 香川県 坂出市 与島町 ５８７,https://goo.gl/maps/L9f3wCGnoBR2E47z5,3.7,179,10,00,17,00,10,00,16,00,10,00,16,00,10,00,16,00,10,00,16,00,10,00,16,00,10,00,17,00
讃州製麺,133.809643,34.299319,〒763-0082,香川県,丸亀市,土器町東,９丁目２４０,,〒763-0082 香川県 丸亀市 土器町東 ９丁目２４０,https://goo.gl/maps/wYjbhDNkBWeMAaWx9,3.8,437,6,45,15,00,6,45,15,00,6,45,15,00,6,45,15,00,6,45,15,00,6,45,15,00,6,45,15,00
いなもくうどん,133.981909,34.199312,〒761-2202,香川県,綾歌郡綾川町,枌所西甲,１４２０−３,,〒761-2202 香川県 綾歌郡綾川町 枌所西甲 １４２０−３,https://goo.gl/maps/yVsiLFkD4KJKF43v7,4.3,569,10,30,14,00,10,30,14,00,10,30,14,00,10,30,14,00,定休日,,,,10,30,14,00,10,30,14,00
はなまるうどん 木太店,134.06874,34.326898,〒760-0080,香川県,高松市,木太町,１８３１−２,,〒760-0080 香川県 高松市 木太町 １８３１−２,https://goo.gl/maps/5uebLFpDjTGEFPL9A,3.4,148,10,00,21,30,10,00,21,30,10,00,21,30,10,00,21,30,10,00,21,30,10,00,21,30,10,00,21,30
中野うどん学校 琴平校A館,133.818156,34.186951,〒766-0001,香川県,仲多度郡琴平町,,７９６,,〒766-0001 香川県 仲多度郡琴平町  796番地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
とにかく とに麺,134.106805,34.325822,〒761-0102,香川県,高松市,新田町甲,９９９−１,,〒761-0102 香川県 高松市 新田町甲 ９９９−１,https://goo.gl/maps/3bbGWsHGSeGnSnWs6,3.4,238,10,00,14,30,10,00,14,00,10,00,14,00,10,00,14,00,10,00,14,00,10,00,14,00,10,00,14,30
手打ちうどん 一屋 丸亀三条店,133.808908,34.248867,〒763-0094,香川県,丸亀市,三条町,５３３−５,,〒763-0094 香川県 丸亀市 三条町 ５３３−５,https://goo.gl/maps/SwF6zan76Hri6YfM8,3.8,625,6,00,17,00,6,00,17,00,6,00,17,00,6,00,17,00,6,00,17,00,6,00,17,00,6,00,17,00
麺匠 くすがみ,134.055475,34.328597,〒760-0075,香川県,高松市,楠上町,２丁目６−３６,,〒760-0075 香川県 高松市 楠上町 ２丁目６−３６,https://goo.gl/maps/XJPyjupit7DzAYyW6,4.0,463,10,00,15,00,10,00,15,00,定休日,,,,10,00,15,00,10,00,15,00,10,00,15,00,10,00,15,00
うどんお食事処 かなくま餅,133.686094,34.124376,〒768-0012,香川県,観音寺市,植田町,３５−２,,〒768-0012 香川県 観音寺市 植田町 ３５−２,https://goo.gl/maps/viA6VfUXQ3GNQWxG7,4.1,404,定休日,,,,8,00,15,00,8,00,15,00,8,00,15,00,定休日,,,,8,00,15,00,8,00,15,00
本格手打ちうどん もり,133.748865,34.171412,〒767-0013,香川県,三豊市,高瀬町下麻,６７８,,〒767-0013 香川県 三豊市 高瀬町下麻 ６７８,https://goo.gl/maps/MNvmF1WGawSu3EFN8,4.1,461,8,00,14,00,10,00,14,00,定休日,,,,10,00,14,00,10,00,14,00,10,00,14,00,8,00,14,00
こだわり麺や 宇多津店,133.819968,34.308728,〒769-0208,香川県,綾歌郡宇多津町,浜八番丁,１２２−１６,,〒769-0208 香川県 綾歌郡宇多津町 浜八番丁 １２２−１６,https://goo.gl/maps/Bpbn65GX8vWonVaL7,3.8,719,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00,6,30,15,00
なかむら屋うどん,134.112824,34.293799,〒761-0322,香川県,高松市,前田東町,７２０−６,,〒761-0322 香川県 高松市 前田東町 ７２０−６,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
さぬきうどん麺処 とらや,133.843368,34.32442,〒762-0052,香川県,坂出市,沖の浜,１−４,,〒762-0052 香川県 坂出市 沖の浜 １−４,https://goo.gl/maps/ysnsbH3NJKJsyRGq9,4.1,381,定休日,,,,10,30,14,00,10,30,14,00,定休日,,,,定休日,,,,10,30,14,00,10,30,14,00
まるや,133.769683,34.247134,〒765-0021,香川県,善通寺市,下吉田町,８８９−４,,〒765-0021 香川県 善通寺市 下吉田町 ８８９−４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
こがね製麺所 春日店,134.091079,34.336143,〒761-0101,香川県,高松市,春日町,１６６６−１,,〒761-0101 香川県 高松市 春日町 １６６６−１,https://goo.gl/maps/dP2KkRcZjs3hR7rY7,3.7,355,6,00,15,00,6,00,15,00,6,00,15,00,6,00,15,00,6,00,15,00,6,00,15,00,6,00,15,00
うどん丼 麺八,134.011441,34.349775,〒761-8031,香川県,高松市,郷東町,７９２−７,,〒761-8031 香川県 高松市 郷東町 ７９２−７,https://goo.gl/maps/fYjdmLCvb2agoM6JA,4.1,314,定休日,,,,9,00,15,00,9,00,15,00,9,00,15,00,9,00,15,00,9,00,15,00,9,00,15,00
かわたうどん,134.021549,34.228745,〒761-1401,香川県,高松市,香南町岡,１３５８−１,,〒761-1401 香川県 高松市 香南町岡 １３５８−１,https://goo.gl/maps/Y3gBm4xuRRGwqhG68,4.0,762,10,00,19,00,10,00,19,00,定休日,,,,定休日,,,,10,00,19,00,10,00,15,00,10,00,19,00
さぬきうどん 溜,134.176354,34.284084,〒769-2311,香川県,さぬき市,造田宮西,８４９−１,,〒769-2311 香川県 さぬき市 造田宮西 ８４９−１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手打ちうどん 山,134.188851,34.323224,〒769-2101,香川県,さぬき市,志度,１３７０−１１,,〒769-2101 香川県 さぬき市 志度 １３７０−１１,https://goo.gl/maps/6DXbbGb2VLd2rQTcA,4.0,277,11,00,14,00,11,00,14,00,11,00,14,00,11,00,14,00,定休日,,,,11,00,14,00,11,00,14,00
中華そば虎龍,133.641917,34.117543,〒768-0063,香川県,観音寺市,三本松町,４丁目２−１６,,〒768-0063 香川県 観音寺市 三本松町 ４丁目２−１６,https://goo.gl/maps/Pmy3g636mEvtCzNq5,4.1,323,11,00,14,00,定休日,,,,11,00,14,00,11,00,14,00,11,00,14,00,11,00,14,00,11,00,14,00
本格手打ちうどん うまじ家,133.67133,34.128064,〒768-0012,香川県,観音寺市,植田町東下,１７１４−１,,〒768-0012 香川県 観音寺市 植田町東下  １７１４−１,https://goo.gl/maps/CutdnHJVqzcqrsEG8,4.2,596,11,00,15,00,11,00,15,00,11,00,15,00,定休日,,,,11,00,15,00,11,00,15,00,11,00,15,00
手打ちうどん まつばら,134.027153,34.276375,〒761-8085,香川県,高松市,寺井町,１０１５,,〒761-8085 香川県 高松市 寺井町 １０１５,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
エビス ・ウドンファクトリー,134.034875,34.268039,〒761-1703,香川県,高松市,香川町浅野,２５８−１,,〒761-1703 香川県 高松市 香川町浅野 ２５８−１,https://goo.gl/maps/tdeLKZZdJYaqgnKf7,3.8,240,10,00,14,00,10,00,14,00,定休日,,,,10,00,14,00,10,00,14,00,10,00,14,00,10,00,14,00
てんてこ舞,133.819115,34.187508,〒766-0001,香川県,仲多度郡琴平町,,番地不明,,〒766-0001 香川県 仲多度郡琴平町  番地不明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上田うどん,133.859259,34.277369,〒762-0081,香川県,丸亀市,飯山町東坂元,７２２,,〒762-0081 香川県 丸亀市 飯山町東坂元 ７２２,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
エコぽん太,134.066886,34.337985,〒760-0068,香川県,高松市,松島町,２丁目９−５,,〒760-0068 香川県 高松市 松島町 ２丁目９−５,https://goo.gl/maps/EZuqV4Cd4zcdTthi6,3.7,408,9,00,17,00,9,00,17,00,9,00,17,00,9,00,17,00,9,00,17,00,9,00,17,00,9,00,17,00
ぶっかけうどん大円,134.057282,34.323963,〒760-0078,香川県,高松市,今里町,１丁目２８−２７,,〒760-0078 香川県 高松市 今里町 １丁目２８−２７,https://goo.gl/maps/tvdLMgzm6YiAQEMe9,3.8,219,11,00,15,00,11,00,15,00,定休日,,,,11,00,15,00,11,00,15,00,11,00,15,00,11,00,15,00
手打ちうどん 古奈や,134.00982,34.308822,〒761-8058,香川県,高松市,勅使町,３０２−４,,〒761-8058 香川県 高松市 勅使町 ３０２−４,https://goo.gl/maps/K59rr3hqEAkAg2566,4.2,425,定休日,,,,7,00,15,00,7,00,15,00,7,00,15,00,7,00,15,00,7,00,15,00,7,00,15,00
手打ちうどん 三太郎,134.299632,34.478939,〒761-4432,香川県,小豆郡小豆島町,草壁本町,１０５３−１１,,〒761-4432 香川県 小豆郡小豆島町 草壁本町 １０５３−１１,https://goo.gl/maps/o9ZTiHdhW9vqc5R6A,4.1,142,10,30,14,00,10,30,14,00,定休日,,,,10,30,14,00,10,30,14,00,10,30,14,00,10,30,14,00
情熱うどん わらく,134.063869,34.278498,〒761-0450,香川県,高松市,三谷町,１２６７−２,,〒761-0450 香川県 高松市 三谷町 １２６７−２,https://goo.gl/maps/LDhhEpSXtGCVMnkc9,4.1,423,10,30,16,00,10,30,16,00,10,30,16,00,定休日,,,,10,30,16,00,10,30,16,00,10,30,16,00
元祖わかめうどん大島家,134.06037,34.319636,〒760-0079,香川県,高松市,松縄町,１０１３−２６,,〒760-0079 香川県 高松市 松縄町 １０１３−２６,https://goo.gl/maps/Svo8b7KnTErFTwfQ8,4.1,181,11,00,14,30,11,00,14,30,11,00,14,30,11,00,14,30,定休日,,,,11,00,14,30,11,00,14,30
黒田屋うどん 西インター店,134.000382,34.293068,〒761-8044,香川県,高松市,円座町,３７５−３,,〒761-8044 香川県 高松市 円座町 ３７５−３,https://goo.gl/maps/P6eaBYWESuwGQzHX8,3.6,774,10,30,2,30,10,30,2,30,10,30,2,30,10,30,2,30,10,30,2,30,10,30,2,30,10,30,2,30
ハレクモ商店,134.088275,34.345184,〒761-0113,香川県,高松市,屋島西町,２１０５−８,,〒761-0113 香川県 高松市 屋島西町 ２１０５−８,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
さぬき麺市場 高松郷東店,134.016419,34.344994,〒761-8031,香川県,高松市,郷東町,１４７,,〒761-8031 香川県 高松市 郷東町 １４７,https://goo.gl/maps/3AZtrJwAALYKWAZZ7,3.6,672,6,00,20,45,6,00,20,45,6,00,20,45,6,00,20,45,6,00,20,45,6,00,20,45,6,00,20,45
手打ちうどん つばめ,134.113184,34.338378,〒761-0104,香川県,高松市,高松町,１８２５−２,,〒761-0104 香川県 高松市 高松町 １８２５−２,https://goo.gl/maps/7fDeRWAaZd9QSJLq8,4.0,104,11,00,15,00,11,00,14,00,11,00,14,00,11,00,14,00,11,00,14,00,11,00,14,00,11,00,15,00
國安うどん,134.053535,34.29946,〒761-8075,香川県,高松市,多肥下町,１５８３−３,,〒761-8075 香川県 高松市 多肥下町 １５８３−３,https://goo.gl/maps/YjPDxJk8au3ABa2t8,3.8,184,11,00,17,00,11,00,15,00,11,00,15,00,定休日,,,,11,00,15,00,11,00,15,00,11,00,17,00
手打うどん生そば 小島,134.073492,34.343836,〒760-0066,香川県,高松市,福岡町,３丁目１６−２９,,〒760-0066 香川県 高松市 福岡町 ３丁目１６−２９,https://goo.gl/maps/hj3AoPoDs9JzPCvV9,3.8,163,定休日,,,,11,00,16,00,11,00,16,00,11,00,16,00,11,00,16,00,11,00,16,00,11,00,16,00
うどん 松ゆき,133.690565,34.223206,〒769-1102,香川県,三豊市,詫間町松崎,２７８０−２５６,,〒769-1102 香川県 三豊市 詫間町松崎 ２７８０−２５６,https://goo.gl/maps/Jnab8vJZfpy9NoUg8,4.2,296,10,00,15,00,10,00,15,00,定休日,,,,10,00,15,00,10,00,15,00,10,00,15,00,10,00,15,00
手打ちうどん 宝山亭,134.008129,34.23998,〒761-1404,香川県,高松市,香南町横井,１０１５−２,,〒761-1404 香川県 高松市 香南町横井 １０１５−２,https://goo.gl/maps/ZrYPpCzUjURpGqoZ9,4.1,275,11,00,18,30,定休日,,,,11,00,18,30,11,00,18,30,11,00,18,30,11,00,18,30,11,00,18,30
うどんの田中,134.073977,34.292896,〒761-0301,香川県,高松市,林町,４５５−３,,〒761-0301 香川県 高松市 林町 ４５５−３,https://goo.gl/maps/grT8EhjaJ877KSRU6,3.2,225,10,30,17,00,10,00,20,00,10,30,17,00,10,30,17,00,10,30,17,00,10,30,17,00,10,30,17,00
さぬき麺市場 伏石店,134.062669,34.307045,〒761-8071,香川県,高松市,伏石町,２１４９−１６,,〒761-8071 香川県 高松市 伏石町 ２１４９−１６,https://goo.gl/maps/5JoQFaHHYGmJCYDq5,3.7,535,9,00,21,00,10,00,21,00,10,00,21,00,10,00,21,00,10,00,21,00,9,00,21,00,9,00,21,00
こんぴらうどん 工場店,133.816479,34.189554,〒766-0001,香川県,仲多度郡琴平町,,６８０,,〒766-0001 香川県 仲多度郡琴平町  ６８０,https://goo.gl/maps/7D5oiSG899pTB9Mc8,4.1,405,8,00,16,00,8,00,16,00,定休日,,,,定休日,,,,8,00,16,00,8,00,16,00,8,00,16,00
頂うどん 握goo,134.036457,34.307543,〒761-8056,香川県,高松市,上天神町,７５７,,〒761-8056 香川県 高松市 上天神町 ７５７,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
うまじ家 豊浜店,133.640099,34.085207,〒769-1601,香川県,観音寺市,豊浜町姫浜,８３−１,,〒769-1601 香川県 観音寺市 豊浜町姫浜 ８３−１,https://goo.gl/maps/8FNcZwEbGGq9REnF9,4.3,500,10,00,14,00,10,00,14,00,10,00,14,00,定休日,,,,10,00,14,00,10,00,14,00,10,00,14,00
あなぶき家 津田の松原SA（下り線）,134.264335,34.275267,〒769-2402,香川県,さぬき市,津田町鶴羽,９３９−１,,〒769-2402 香川県 さぬき市 津田町鶴羽 ９３９−１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
細麺うどん やま家,134.080611,34.318182,〒760-0080,香川県,高松市,木太町,４０５７−１,,〒760-0080 香川県 高松市 木太町 ４０５７−１,https://goo.gl/maps/9o2PveqKHLyYwXxz7,3.7,63,10,30,14,30,10,30,14,30,10,30,14,30,10,30,14,30,定休日,,,,10,30,14,30,10,30,14,30
